ds,y
2024-04-12 16:56:03.700374,168
2024-04-12 17:00:13.700374,190
2024-04-12 17:04:23.700374,164
2024-04-12 17:08:33.700374,174
2024-04-12 17:12:43.700374,189
2024-04-12 17:16:53.700374,178
2024-04-12 17:21:03.700374,191
2024-04-12 17:25:13.700374,191
2024-04-12 17:29:23.700374,183
2024-04-12 17:33:33.700374,189
2024-04-12 17:37:43.700374,179
2024-04-12 17:41:53.700374,170
2024-04-12 17:46:03.700374,196
2024-04-12 17:50:13.700374,180
2024-04-12 17:54:23.700374,179
2024-04-12 17:58:33.700374,196
2024-04-12 18:02:43.700374,187
2024-04-12 18:06:53.700374,203
2024-04-12 18:11:03.700374,200
2024-04-12 18:15:13.700374,211
2024-04-12 18:19:23.700374,192
2024-04-12 18:23:33.700374,203
2024-04-12 18:27:43.700374,182
2024-04-12 18:31:53.700374,193
2024-04-12 18:36:03.700374,211
2024-04-12 18:40:13.700374,184
2024-04-12 18:44:23.700374,200
2024-04-12 18:48:33.700374,193
2024-04-12 18:52:43.700374,209
2024-04-12 18:56:53.700374,214
2024-04-12 19:01:03.700374,165
2024-04-12 19:05:13.700374,200
2024-04-12 19:09:23.700374,184
2024-04-12 19:13:33.700374,174
2024-04-12 19:17:43.700374,195
2024-04-12 19:21:53.700374,198
2024-04-12 19:26:03.700374,187
2024-04-12 19:30:13.700374,212
2024-04-12 19:34:23.700374,178
2024-04-12 19:38:33.700374,212
2024-04-12 19:42:43.700374,197
2024-04-12 19:46:53.700374,201
2024-04-12 19:51:03.700374,178
2024-04-12 19:55:13.700374,185
2024-04-12 19:59:23.700374,179
2024-04-12 20:03:33.700374,186
2024-04-12 20:07:43.700374,186
2024-04-12 20:11:53.700374,176
2024-04-12 20:16:03.700374,174
2024-04-12 20:20:13.700374,160
2024-04-12 20:24:23.700374,149
2024-04-12 20:28:33.700374,211
2024-04-12 20:32:43.700374,180
2024-04-12 20:36:53.700374,176
2024-04-12 20:41:03.700374,195
2024-04-12 20:45:13.700374,213
2024-04-12 20:49:23.700374,200
2024-04-12 20:53:33.700374,209
2024-04-12 20:57:43.700374,205
2024-04-12 21:01:53.700374,178
2024-04-12 21:06:03.700374,197
2024-04-12 21:10:13.700374,171
2024-04-12 21:14:23.700374,211
2024-04-12 21:18:33.700374,215
2024-04-12 21:22:43.700374,204
2024-04-12 21:26:53.700374,216
2024-04-12 21:31:03.700374,201
2024-04-12 21:35:13.700374,201
2024-04-12 21:39:23.700374,203
2024-04-12 21:43:33.700374,202
2024-04-12 21:47:43.700374,214
2024-04-12 21:51:53.700374,184
2024-04-12 21:56:03.700374,168
2024-04-12 22:00:13.700374,172
2024-04-12 22:04:23.700374,188
2024-04-12 22:08:33.700374,220
2024-04-12 22:12:43.700374,186
2024-04-12 22:16:53.700374,192
2024-04-12 22:21:03.700374,175
2024-04-12 22:25:13.700374,326
2024-04-12 22:29:23.700374,883
2024-04-12 22:33:33.700374,224
2024-04-12 22:37:43.700374,199
2024-04-12 22:41:53.700374,205
2024-04-12 22:46:03.700374,196
2024-04-12 22:50:13.700374,214
2024-04-12 22:54:23.700374,170
2024-04-12 22:58:33.700374,191
2024-04-12 23:02:43.700374,197
2024-04-12 23:06:53.700374,193
2024-04-12 23:11:03.700374,185
2024-04-12 23:15:13.700374,179
2024-04-12 23:19:23.700374,203
2024-04-12 23:23:33.700374,205
2024-04-12 23:27:43.700374,194
2024-04-12 23:31:53.700374,189
2024-04-12 23:36:03.700374,143
2024-04-12 23:40:13.700374,0
2024-04-12 23:44:23.700374,2
2024-04-12 23:48:33.700374,2
2024-04-12 23:52:43.700374,8
2024-04-12 23:56:53.700374,15
2024-04-13 00:01:03.700374,202
2024-04-13 00:05:13.700374,192
2024-04-13 00:09:23.700374,205
2024-04-13 00:13:33.700374,196
2024-04-13 00:17:43.700374,207
2024-04-13 00:21:53.700374,204
2024-04-13 00:26:03.700374,207
2024-04-13 00:30:13.700374,197
2024-04-13 00:34:23.700374,204
2024-04-13 00:38:33.700374,196
2024-04-13 00:42:43.700374,203
2024-04-13 00:46:53.700374,195
2024-04-13 00:51:03.700374,202
2024-04-13 00:55:13.700374,198
2024-04-13 00:59:23.700374,198
2024-04-13 01:03:33.700374,199
